ID,Item_Outlet_Sales,Item_type
FDW58OUT049,1693.6774046153844,Snack Foods
FDW14OUT017,1332.153201470588,Dairy
NCN55OUT010,487.40178478260873,Others
FDQ58OUT017,2775.4009808219184,Snack Foods
FDY38OUT027,5559.618375719888,Dairy
FDH56OUT046,1950.840451162791,Fruits and Vegetables
FDL48OUT018,524.6806636363636,Baking Goods
FDC48OUT027,2068.569264285714,Baking Goods
FDN33OUT045,1391.4436705882354,Snack Foods
FDA36OUT017,3408.774419130434,Baking Goods
FDT44OUT017,2132.479831067961,Fruits and Vegetables
FDQ56OUT045,1332.153201470588,Fruits and Vegetables
NCC54OUT019,605.3117588785047,Health and Hygiene
FDU11OUT049,1950.840451162791,Breads
DRL59OUT013,775.0400660550457,Hard Drinks
FDM24OUT049,2539.836034108527,Baking Goods
FDI57OUT045,3764.8568909090914,Seafood
DRC12OUT018,3295.266133333333,Soft Drinks
NCM42OUT027,2794.179505000001,Household
FDA46OUT010,487.40178478260873,Snack Foods
FDA31OUT013,2694.7307328467164,Fruits and Vegetables
NCJ31OUT035,3950.9264431999977,Others
FDG52OUT046,671.0751846153843,Frozen Foods
NCL19OUT019,306.33348852459034,Others
FDS10OUT035,2655.275971212121,Snack Foods
FDX22OUT010,487.40178478260873,Snack Foods
NCF19OUT035,671.0751846153843,Household
NCE06OUT046,2808.8827063829785,Household
DRC27OUT046,4358.855706542055,Dairy
FDE21OUT035,2046.9735657142853,Fruits and Vegetables
NCR42OUT019,105.2549904,Household
FDX51OUT018,3295.266133333333,Meat
NCR06OUT018,524.6806636363636,Household
FDU31OUT027,5559.618375719888,Fruits and Vegetables
FDU59OUT017,2964.967685185186,Breads
FDR03OUT027,5275.190468571425,Meat
FDS49OUT027,2068.569264285714,Canned
FDD48OUT010,281.9254175438596,Baking Goods
NCF18OUT017,3116.7792763636353,Household
NCD43OUT027,2794.179505000001,Household
NCD54OUT018,1777.7057274074075,Household
FDY19OUT010,281.9254175438596,Fruits and Vegetables
NCY54OUT017,2459.888325233645,Household
NCL19OUT018,1777.7057274074075,Others
FDP23OUT010,605.3117588785047,Breads
FDC26OUT013,1754.057083916084,Canned
FDR14OUT010,157.01130588235296,Dairy
NCS41OUT035,3201.733229729729,Health and Hygiene
FDF41OUT035,3950.9264431999977,Frozen Foods
FDU34OUT046,1950.840451162791,Snack Foods
DRH11OUT046,1041.6118838709676,Hard Drinks
FDM03OUT013,1754.057083916084,Meat
FDS31OUT017,3408.774419130434,Fruits and Vegetables
FDJ20OUT017,2132.479831067961,Fruits and Vegetables
FDV44OUT027,5275.190468571425,Fruits and Vegetables
FDG02OUT049,3116.7792763636353,Canned
FDA09OUT013,3408.774419130434,Snack Foods
FDT04OUT013,596.1828575342469,Frozen Foods
FDL58OUT019,487.40178478260873,Snack Foods
FDE52OUT045,1564.58408275862,Dairy
FDW12OUT035,2521.329116666667,Baking Goods
FDL51OUT017,4004.1596115384627,Dairy
NCY42OUT027,3745.7690891304346,Household
FDR07OUT017,1517.032536956522,Fruits and Vegetables
FDN40OUT045,2553.905952845528,Frozen Foods
FDB35OUT027,2568.6024162162166,Starchy Foods
FDA22OUT017,2964.967685185186,Starchy Foods
NCL06OUT046,4358.855706542055,Household
FDI35OUT013,3764.8568909090914,Starchy Foods
NCW42OUT045,3698.390135483871,Household
NCX06OUT049,3408.774419130434,Household
FDC37OUT027,2794.179505000001,Baking Goods
FDZ14OUT018,1777.7057274074075,Dairy
DRG49OUT049,4358.855706542055,Soft Drinks
NCG06OUT045,4356.095470270271,Household
DRC36OUT045,2986.9868624999995,Soft Drinks
FDV21OUT019,306.33348852459034,Snack Foods
FDB53OUT046,2694.7307328467164,Frozen Foods
DRP47OUT019,605.3117588785047,Hard Drinks
FDA14OUT013,2539.836034108527,Dairy
DRC24OUT035,2553.905952845528,Soft Drinks
FDW21OUT018,1411.4228351648355,Snack Foods
NCH29OUT046,1391.4436705882354,Health and Hygiene
FDU58OUT013,2679.219963265306,Snack Foods
FDY27OUT017,2986.9868624999995,Dairy
FDV56OUT035,1693.6774046153844,Fruits and Vegetables
FDT59OUT046,3513.2239652173907,Breads
FDB23OUT046,3513.2239652173907,Starchy Foods
FDR49OUT045,757.5139499999999,Canned
FDB03OUT010,605.3117588785047,Dairy
FDN39OUT045,2986.9868624999995,Meat
FDX02OUT027,5559.618375719888,Dairy
FDQ16OUT027,2794.179505000001,Frozen Foods
FDU35OUT018,1411.4228351648355,Breads
NCT29OUT013,1974.8129139784946,Health and Hygiene
FDZ27OUT046,671.0751846153843,Dairy
FDN57OUT017,2521.329116666667,Snack Foods
FDA03OUT018,1777.7057274074075,Dairy
FDZ36OUT045,3408.774419130434,Baking Goods
NCU05OUT013,1332.153201470588,Health and Hygiene
FDT39OUT018,2338.8354360360368,Meat
FDK60OUT017,1517.032536956522,Baking Goods
FDZ25OUT017,2986.9868624999995,Canned
FDG12OUT046,2240.0538363636365,Baking Goods
DRB01OUT019,502.02998487394956,Soft Drinks
NCC43OUT027,5559.618375719888,Household
FDX13OUT019,605.3117588785047,Canned
FDM22OUT049,907.3643454545455,Snack Foods
FDJ03OUT027,1281.5230279411767,Dairy
FDU14OUT018,3169.9637729729734,Dairy
FDB33OUT010,361.18122935779826,Fruits and Vegetables
FDP27OUT046,3201.733229729729,Meat
FDO38OUT010,197.65629259259262,Canned
FDE28OUT027,5559.618375719888,Frozen Foods
FDO27OUT035,1391.4436705882354,Meat
DRL23OUT027,2794.179505000001,Hard Drinks
FDS28OUT046,907.3643454545455,Frozen Foods
FDX24OUT013,1517.032536956522,Baking Goods
FDZ02OUT035,1391.4436705882354,Dairy
FDL46OUT045,1786.693882352941,Snack Foods
FDS60OUT027,5275.190468571425,Baking Goods
NCO06OUT017,571.868936,Household
FDO16OUT035,1356.5042214876032,Frozen Foods
FDC60OUT049,1332.153201470588,Baking Goods
FDA48OUT018,3527.390878947369,Baking Goods
FDZ36OUT027,5275.190468571425,Baking Goods
FDK27OUT045,1786.693882352941,Meat
FDW23OUT018,524.6806636363636,Baking Goods
FDM14OUT018,1411.4228351648355,Canned
FDM14OUT013,1649.7136916666675,Canned
FDW60OUT018,2986.9868624999995,Baking Goods
FDE21OUT013,1974.8129139784946,Fruits and Vegetables
NCM42OUT035,1649.7136916666675,Household
FDY59OUT010,197.65629259259262,Baking Goods
DRI49OUT049,1332.153201470588,Soft Drinks
FDT28OUT019,361.18122935779826,Frozen Foods
FDQ22OUT018,524.6806636363636,Snack Foods
FDR60OUT049,1215.7750109090907,Baking Goods
FDC50OUT019,254.7854648648649,Canned
